Comment,Description,Designator,Footprint,LibRef,Quantity
,,,,,
22nF,Cap Ceramic 22nF 50V C0G 5% Pad SMD 0805 +125°C Automotive T/R,C1,FP-CGA4J-MFG,CMP-08246-000753-1,1
0.1uF,CAP CER 0.1UF 25V X7R 0805,C2,FP-CC0805-0_85-MFG,CMP-1036-04410-2,1
4.7uF,"Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 4.7uF, X7R, 15%, 10%, 50V",C3,FP-GRM31C-0_2-e0_3_0_8-IPC_C,CMP-1037-04923-3,1
1uF,"Chip Capacitor, 1 uF, +/- 10%, 25 V, -55 to 125 degC, 1206 (3216 Metric), RoHS, Tape and Reel",C4,CAPC3216X180X50ML20T25,CMP-2000-04991-1,1
10nF,"Chip Capacitor, 10 nF, 16 V, 10%, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel",C5,CAPC1005X55X25LL05T10,CMP-2000-06332-1,1
1uF,Cap Ceramic 1uF 35V X7R 10% Pad SMD 0603 +125°C Automotive T/R,C6,FP-CGA3E-0_3-0_1-MFG,CMP-08246-002551-1,1
1nF,Cap Ceramic 1nF 50V X7R 10% Pad SMD 0402 +125°C Automotive T/R,C7,FP-CGA2B-MFG,CMP-08246-002303-1,1
10uF,"Chip Capacitor, 10 uF, +/- 10%, 16 V, -55 to 125 degC, 1206 (3216 Metric), RoHS, Tape and Reel","C8, C9, C10",CAPC3216X180X55LL20T25,CMP-2000-06352-1,3
3.3nF,Cap Ceramic 3.3nF 50V X7R ±10% SMD 1206 +125°C Embossed T/R,C11,FP-CL31-IPC_C,CMP-13271-001980-1,1
SSW-104-02-G-S,"SSW-104-02-G-S Board to Board & Mezzanine Connectors Tiger Buy Socket Strip with PCB Tails, .100 Pitch",J1,FP-SSW-104-02-G-S-MFG,CMP-00575-00296407-1,1
220nF,"74437529203221 WE-HCF High Current Inductor, 220uH, 8.8A, 2.8MHz, 36.45mOhm",L1,WE-HCF_2920,CMP-03913-88969860-2,1
1.54K,,R0,RESC2013X70X40LL20T20,CMP-2001-04443-1,1
3K,Res Thick Film 0805 3kO 1% 0.125W ±100ppm/°C Molded SMD T/R,"R1, R2",FP-RC2012-MFG,CMP-13261-005524-1,2
50R,,R3,RESC2013X70X40LL20T20,CMP-2001-00425-1,1
215,,R5,RESC2013X70X40NL20T20,CMP-2001-00039-1,1
294K,,R6,RESC1005X40X25LL05T05,CMP-2002-08443-1,1
102K,,"R7, R8",RESC2013X60X35LL10T20,CMP-2001-04571-1,2
340K,"RES Thick Film, 340kO, 1%, 0.063W, 100ppm/°C, 0402",R9,FP-CRCW0402-e3-MFG,CMP-2002-08533-2,1
100K,RES SMD 100K OHM 1% 1/10W 0603,R10,FP-RC0603-0_55-MFG,CMP-2100-03662-2,1
62K,,R11,RESC1608X55X25NL10T15,CMP-2000-04104-1,1
20K,RES SMD 20K OHM 1% 1/8W 0805,R12,FP-RT0805-MFG,CMP-2001-01463-2,1
13K,,R13,RESC2013X70X40NL20T20,CMP-2001-04416-1,1
1K,"Chip Resistor, 1 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel",R14,RESC2013X70X40ML20T20,CMP-2001-04375-5,1
OPA1641AIDGKT,"Sound-Plus High-Performance, JFET-Input Audio Operational Amplifier, 4.5 to 36 V, -40 to 85 degC, 8-pin SOP (DGK8), Green (RoHS & no Sb/Br)",U1,DGK0008A_N,CMP-0808-00041-2,1
TL071CDR,"Low-Noise JFET-Input General-Purpose Operational Amplifier, 7 to 36 V, 0 to 70 degC, 8-pin SOIC (D8), Green (RoHS & no Sb/Br)",U2,D0008A_M,CMP-0017-00391-2,1
MA40S4S,ULTRASONIC SENSOR TRANS 40KHZ,U3,FP-MA40S4S-MFG,CMP-06153-000002-1,1
LM5161PWPR,IC REG BCK FLYBCK ADJ 14HTSSOP,U4,FP-PWP0014A-MFG,CMP-04918-000082-1,1
